year,China,Argentina,Australia,Brazil,Canada,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Saudi_Arabia,Singapore,South_Africa,Turkey,United_Kingdom,United_States,Russia
2003,0.1089,0.1225,0.09,0.1156,0.1369,0.1156,0.16,0.1369,0.09,0.1444,0.1764,0.09,0.1156,0.09,0.0484,0.1444,0.09,0.09,0.1156,0.0576
2004,0.1089,0.1225,0.09,0.1156,0.1296,0.1156,0.1444,0.1296,0.09,0.1369,0.1764,0.09,0.1089,0.09,0.0484,0.1444,0.1089,0.09,0.1156,0.0576
2005,0.1089,0.1225,0.09,0.1156,0.1296,0.1156,0.1444,0.1369,0.09,0.1369,0.1681,0.0784,0.09,0.09,0.04,0.1444,0.09,0.09,0.16,0.0576
2006,0.1089,0.1225,0.09,0.1156,0.1296,0.1089,0.1444,0.1156,0.09,0.1369,0.1681,0.0784,0.0841,0.04,0.04,0.1369,0.04,0.09,0.16,0.0576
2007,0.1089,0.1225,0.09,0.1156,0.1296,0.1089,0.1444,0.1156,0.09,0.1369,0.1681,0.0784,0.0784,0.04,0.04,0.1369,0.04,0.09,0.16,0.0576
2008,0.0625,0.1225,0.09,0.1156,0.1156,0.1089,0.09,0.1156,0.09,0.0961,0.1681,0.0784,0.0784,0.04,0.0324,0.1225,0.04,0.09,0.16,0.0576
2009,0.0625,0.1225,0.09,0.1156,0.1089,0.1089,0.0841,0.1156,0.0784,0.0961,0.1681,0.0576,0.0784,0.04,0.0324,0.1225,0.04,0.0784,0.16,0.04
2010,0.0625,0.1225,0.09,0.1156,0.0961,0.1089,0.0841,0.1156,0.0625,0.0961,0.1681,0.0576,0.09,0.04,0.0289,0.1225,0.04,0.0784,0.16,0.04
2011,0.0625,0.1225,0.09,0.1156,0.0784,0.1089,0.0841,0.1024,0.0625,0.0961,0.1681,0.0484,0.09,0.04,0.0289,0.1225,0.04,0.0676,0.16,0.04
2012,0.0625,0.1225,0.09,0.1156,0.0676,0.1089,0.0841,0.1024,0.0625,0.0961,0.1444,0.0576,0.09,0.04,0.0289,0.1225,0.04,0.0576,0.16,0.04
2013,0.0625,0.1225,0.09,0.1156,0.0676,0.1089,0.09,0.1156,0.0625,0.0961,0.1444,0.0576,0.09,0.04,0.0289,0.0784,0.04,0.0529,0.16,0.04
2014,0.0625,0.1225,0.09,0.1156,0.0729,0.1089,0.09,0.1156,0.0625,0.0961,0.1296,0.0576,0.09,0.04,0.0289,0.0784,0.04,0.0441,0.16,0.04
2015,0.0625,0.1225,0.09,0.1156,0.0729,0.1089,0.09,0.1225,0.0625,0.0961,0.1156,0.0576,0.09,0.04,0.0289,0.0784,0.04,0.04,0.16,0.04
2016,0.0625,0.1225,0.09,0.1156,0.0729,0.1089,0.09,0.1225,0.0625,0.0961,0.0961,0.0576,0.09,0.04,0.0289,0.0784,0.04,0.04,0.16,0.04
2017,0.0625,0.1225,0.09,0.1156,0.0729,0.1089,0.09,0.09,0.0625,0.0576,0.0961,0.0484,0.09,0.04,0.0289,0.0784,0.04,0.0361,0.0576,0.04
