year,China,Canada,France,Germany,Italy,Japan,United_Kingdom,United_States,Russia
2003,0.33,0.37,0.34,0.4,0.38,0.42,0.3,0.34,0.24
2004,0.33,0.36,0.34,0.38,0.37,0.42,0.3,0.34,0.24
2005,0.33,0.36,0.34,0.38,0.37,0.41,0.3,0.4,0.24
2006,0.33,0.36,0.33,0.38,0.37,0.41,0.3,0.4,0.24
2007,0.33,0.36,0.33,0.38,0.37,0.41,0.3,0.4,0.24
2008,0.25,0.34,0.33,0.3,0.31,0.41,0.3,0.4,0.24
2009,0.25,0.33,0.33,0.29,0.31,0.41,0.28,0.4,0.2
2010,0.25,0.31,0.33,0.29,0.31,0.41,0.28,0.4,0.2
2011,0.25,0.28,0.33,0.29,0.31,0.41,0.26,0.4,0.2
2012,0.25,0.26,0.33,0.29,0.31,0.38,0.24,0.4,0.2
2013,0.25,0.26,0.33,0.3,0.31,0.38,0.23,0.4,0.2
2014,0.25,0.27,0.33,0.3,0.31,0.36,0.21,0.4,0.2
2015,0.25,0.27,0.33,0.3,0.31,0.34,0.2,0.4,0.2
2016,0.25,0.27,0.33,0.3,0.31,0.31,0.2,0.4,0.2
2017,0.25,0.27,0.33,0.3,0.24,0.31,0.19,0.24,0.2
