Name,MPG,CYL,Hpower,Weight,Acc,Year,Origin
AMC Ambassador Brougham,15,8,150,3504,20.8,70,1
AMC Ambassador DPL,15,8,165,3693,21.3,70,1
AMC Ambassador SST,18,8,150,3436,21.8,70,1
AMC Concord DL 6,16,8,150,3433,20.8,70,1
AMC Concord DL,17,8,140,3449,22.3,70,1
AMC Concord DL,15,8,198,4341,22.8,70,1
AMC Concord,14,8,220,4354,23.8,70,1
AMC Concord,14,8,215,4312,24.3,70,1
AMC Gremlin,14,8,225,4425,22.8,70,1
AMC Gremlin,15,8,190,3850,24.3,70,1
AMC Gremlin,15,8,170,3563,22.8,70,1
AMC Gremlin,14,8,160,3609,24.8,70,1
AMC Hornet Sportabout (Wagon),15,8,150,3761,23.3,70,1
AMC Hornet,14,8,225,3086,22.8,70,1
AMC Hornet,24,4,95,2372,17.8,70,3
AMC Hornet,22,6,95,2833,17.3,70,1
AMC Hornet,18,6,97,2774,17.3,70,1
AMC Matador (Wagon),21,6,85,2587,16.8,70,1
AMC Matador (Wagon),27,4,88,2130,18.3,70,3
AMC Matador,26,4,46,1835,12.3,70,2
AMC Matador,25,4,87,2672,15.3,70,2
AMC Matador,24,4,90,2430,18.3,70,2
AMC Matador,25,4,95,2375,15.3,70,2
AMC Matador,26,4,113,2234,20.3,70,2
AMC Pacer D/L,21,6,90,2648,17.8,70,1
AMC Pacer,10,8,215,4615,18.8,70,1
AMC Rebel SST (Wagon),10,8,200,4376,17.8,70,1
AMC Rebel SST,11,8,210,4382,19.3,70,1
AMC Spirit DL,9,8,193,4732,14.3,70,1
Audi 100 LS,27,4,88,2130,18.3,71,3
Audi 100 LS,28,4,90,2264,17.3,71,1
Audi 100 LS,25,4,95,2228,18.8,71,3
Audi 4000,19,6,100,2634,19.8,71,1
Audi 5000,16,6,105,3439,17.3,71,1
Audi 5000S (Diesel),17,6,100,3329,17.3,71,1
Audi Fox,19,6,88,3302,17.3,71,1
BMW 2002,18,6,100,3288,17.3,71,1
BMW 320i,14,8,165,4209,20.8,71,1
Buick Century 350,14,8,175,4464,21.3,71,1
Buick Century Limited,14,8,153,4154,19.3,71,1
Buick Century Luxus (Wagon),14,8,150,4096,19.8,71,1
Buick Century Special,12,8,180,4955,21.3,71,1
Buick Century,13,8,170,4746,20.8,71,1
Buick Century,13,8,175,5140,20.8,71,1
Buick Electra 225 Custom,18,6,110,2962,19.3,71,1
Buick Estate Wagon (Wagon),22,4,72,2408,13.8,71,1
Buick Estate Wagon (Wagon),19,6,100,3282,17.8,71,1
Buick Lesabre Custom,18,6,88,3139,18.3,71,1
Buick Opel Isuzu Deluxe,23,4,86,2220,18.8,71,1
Buick Regal Sport Coupe (Turbo),28,4,90,2123,18.8,71,2
Buick Skyhawk,30,4,70,2074,13.3,71,2
Buick Skylark 320,30,4,76,2065,18.3,71,2
Buick Skylark Limited,31,4,65,1773,13.8,71,3
Buick Skylark,35,4,69,1613,14.8,71,3
Buick Skylark,27,4,60,1834,13.8,71,2
Cadillac Eldorado,26,4,70,1955,12.3,71,1
Cadillac Seville,24,4,95,2278,17.3,72,3
Chevroelt Chevelle Malibu,25,4,80,2126,15.8,72,1
Chevrolet Bel Air,23,4,54,2254,9.3,72,2
Chevrolet Camaro,20,4,90,2408,13.3,72,1
Chevrolet Caprice Classic,21,4,86,2226,16.3,72,1
Chevrolet Caprice Classic,13,8,165,4274,20.8,72,1
Chevrolet Caprice Classic,14,8,175,4385,20.8,72,1
Chevrolet Cavalier 2-Door,15,8,150,4135,19.3,72,1
Chevrolet Cavalier Wagon,14,8,153,4129,19.8,72,1
Chevrolet Cavalier,17,8,150,3672,21.3,72,1
Chevrolet Chevelle Concours (Wagon),11,8,208,4633,21.8,72,1
Chevrolet Chevelle Concours (Wagon),13,8,155,4502,19.3,72,1
